;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libert�, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Europa, 2;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Palosca n. 2;Ostiano;San Giovanni
Gadesco-Pieve Delmona, Giovanni Lonati 9;66555;25859;53664;10562;56638;49648;56.67;20945;55219;40611;52144;35595;14.08;23154;46041;46.47;16218;8101;61.37;39.8;431;7924;26002;33.65;17653;43687;42012;36794;57691;39594;48472;16831;25886;56612;61878;3125;10291;23.43;521054;29629;35.44;53375;50951;44801;40816;69617;44508;30322;29738;29116;56.38;18088;28633;42.19;31418;199256;64814;55178;36724;56404;60928;6356;9609;7673;7673;16539;29145
Grontardo, Roma, 16;71283;30587;58392;18123;56.15;54376;62916;22472;56277;40676;59705;40323;16121;23219;50769;51198;20946;13278;66098;41427;8644;76;30.73;33715;17718;44.94;46.74;36859;62419;44322;47849;10452;30614;61.34;66606;7643;4571;23495;530229;34357;23956;53.44;54242;49529;40881;74345;43.22;35.05;29803;29181;57438;22816;28698;42334;31507;206817;69542;62016;37677;61132;67174;3901;16304;15234;15234;10.16;29.21
Grumello Cremonese ed Uniti, Roma, 2;46791;5821;33.9;25447;36874;29884;36906;13556;35455;59124;20893;15831;15.97;41667;26277;26658;8524;17.75;41606;20036;25306;29786;294;52934;41668;23923;22248;55307;37927;19.83;28708;40846;5848;36848;42114;22425;34306;47445;530822;8442;51904;71888;31187;25037;60512;49853;24744;10558;48251;47369;36616;5117;47146;24909;11.38;198421;45.05;35414;16.96;36.64;41164;30371;18141;22558;22558;40554;48841
Gussola, Comaschi, 1;94592;53896;81701;29.89;84675;77685;84707;48982;83256;7636;81074;63632;42117;13579;74078;74507;44255;34527;89407;67837;33764;33.81;54039;253;25268;71724;70049;3142;85728;67631;76509;35169;53923;84649;89915;38146;30698;17094;479826;57666;63.74;20.4;78988;72838;14.04;97654;72545;58359;9654;7713;84417;46125;9017;70227;59455;228186;92851;83215;64761;84441;88965;31334;33648;31163;31163;34877;10368
Isola Dovarese, Giacomo Matteotti, 1;82902;42206;70011;26714;72985;65995;73017;37292;71566;26265;68491;51942;30427;15717;62388;62817;32565;24448;77717;56147;17.43;17476;42349;24791;0.0;60034;58359;22448;74038;55941;64819;12766;42233;72959;78225;20583;13135;8777;498455;45976;34996;39029;67298;61148;26163;85964;60855;46669;14641;18087;72727;34435;15157;58537;47765;215603;81161;71525;53071;72751;77275;13771;28402;24.02;24.02;12474;14492
Izano, Gerardo da Izano, 4/C;27426;20186;14562;44622;14493;11562;19713;23629;13074;78299;29816;9276;35145;60842;5755;5911;27699;36925;22241;4.46;44481;44818;24084;72109;60843;133;3635;74482;18562;13593;3545;51849;20213;17483;22749;41.6;53481;66.62;549891;23926;37627;91.13;8806;9394;79687;30488;4911;16.39;67426;66804;14235;28249;66321;12553;14297;209014;25685;18813;7747;17275;23971;49546;37316;41733;41733;54326;68016
Madignano, Portici, 4;24836;23582;11972;42861;14919;8972;14951;25073;13.5;76538;27172;7.39;33384;59081;4322;4703;25938;35164;19651;8211;42.72;47.2;22323;70348;59082;3.75;0.0;72721;15972;10949;6753;58.26;23609;14893;20159;39839;51.72;64859;547247;21174;41378;89369;9232;6804;77926;27898;8662;14629;65665;65043;14661;26488;64.56;16304;15196;206424;23095;13459;11498;14685;19209;47785;35555;39972;39972;57968;66255
Martignana di Po, Libert�, 64;97194;56498;84303;32492;87277;80287;87309;51584;85858;5642;83676;66234;44719;14702;76.68;77109;46857;37129;92009;70439;37141;37187;56641;2.86;23343;74326;72651;0.24;88.33;70233;79111;33244;56525;87251;92517;40294;32846;15169;477832;60268;67117;18406;81.59;75.44;12046;100256;75147;60961;8346;9833;87019;48727;8862;72829;62057;230788;95453;85817;67363;87043;91567;33482;35768;33765;33765;32952;8443
Monte Cremasco, Roma, 12;11114;38662;3882;57941;22061;9795;15.62;40153;16925;91618;29163;22.47;48464;74161;11826;11432;41018;50244;5078;22816;57.8;62.28;37403;85428;74162;18355;15704;87801;0.0;19.53;18664;73183;38689;3.89;6437;54919;66.8;79939;561181;34926;54747;104449;16887;13986;93006;14176;22031;29709;80745;80123;15513;41568;79.64;29673;30276;192721;9392;7381;26103;1379;13.36;62865;50635;55052;55052;73048;81335
Montodine,  XXV Aprile, 10;28402;20979;14373;40258;22.85;10357;20845;23052;21431;73935;17237;4787;30781;56478;10122;9462;23335;32561;23217;11352;40117;44597;19.72;67745;56479;14375;10764;70118;19538;46;14684;55657;21006;18459;23725;37236;49117;62256;537312;15699;48776;86766;17163;5.51;75323;31464;16.06;12026;63062;62.44;22592;23885;61957;23702;13175;194765;26661;18.17;15773;18251;24693;45182;32952;37369;37369;55365;63652
Offanengo, Clavelli Martini, 5;23027;24133;15417;50055;8.58;12417;14663;26478;7614;83732;32704;13223;35.39;66275;6.61;6766;31646;42358;23096;8407;49914;47667;28031;77542;66276;3411;7818;79915;19417;15793;182;57467;24.16;16482;19011;47033;54327;72053;552802;28368;37186;96496;4152;10249;85.12;28875;4.47;20337;72859;72237;9185;32196;71754;12112;18244;214064;26.54;13763;11694;18.13;18921;54979;42749;47166;47166;57175;73449
Ostiano, Mazzini, 1;82.22;41524;69356;26032;64851;65313;72335;32.27;70884;36281;67786;51.26;29745;22911;61706;62135;31883;23.76;77035;55465;16748;10.45;41667;34807;13016;59352;57677;32464;73356;55259;64137;74;41551;72277;75429;17441;6821;18793;536719;46787;21989;49112;66616;60466;36179;107912;51921;45987;24657;28873;72045;33753;25173;47878;38647;214921;80479;70843;52389;72069;100708;10585;27241;23338;23338;504;24508
Paderno Ponchielli, Municipio, 3;46664;24;33773;25495;36747;29757;36779;7907;35328;59172;26552;15704;14456;41715;26.15;26579;8572;17798;41479;16772;25354;29834;5837;52982;41716;20285;22121;55355;37.8;19703;24402;40894;0.0;36721;39873;22473;34354;47493;530.87;15259;32859;71936;31.06;24.91;60.56;49726;20792;10431;48299;47677;36489;9122;47194;19906;6377;204103;44923;35287;13022;36513;41037;30419;18189;22606;22606;40602;48889
Palazzo Pignano, Marco Polo, 31;11312;37867;5767;57146;18.17;9.0;11729;43233;13034;90823;33567;21675;47669;73366;11031;10637;40223;49449;7605;22021;57005;61485;36608;86144;73367;17.56;14909;87006;3918;18735;16022;72545;37894;169;4.51;54124;66005;79144;555744;34131;48682;103587;12996;13191;92211;14374;21236;28914;79.95;79328;11622;40773;78845;24.17;29481;194378;11049;3.49;25308;2631;9469;62.07;49.84;54257;54257;72253;80.54
