;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Pianengo, Nenni;17.2;33.69;11.77;50.37;9.91;10.3;8.84;34.97;4.77;84.04;31.16;14.89;43.88;66.59;4.58;5.02;42.61;16.86;17.44;51.21;56.16;29.83;77.85;66.59;13.23;8.13;80.23;14.99;14.22;8.74;63.19;33.71;11.07;13.18;47.34;59.9;72.36;0.0;33.13;40.39;96.87;4.73;8.68;85.43;22.88;14.64;22.13;73.17;72.55;3.36;33.99;72.16;16.1;28.26;55.72;20.25;7.94;20.6;13.7;13.09;55.31;44.52;47.48;7.45;33.44
Pizzighettone, Giuseppe Garibaldi, 18;45.04;16.06;31.01;31.59;36.95;26.99;37.48;23.8;38.8;65.26;12.05;19.17;22.11;47.81;26.36;26.1;20.63;36.01;23.38;32.43;35.93;10.29;59.07;47.81;27.27;25.59;61.45;35.27;16.94;32.01;48.38;16.09;35.09;40.36;28.57;41.12;53.59;29.9;0.06;58.01;78.09;34.49;22.14;66.65;47.93;28.09;10.86;54.39;53.77;39.96;12.32;53.38;30.38;17.15;36.94;43.3;34.8;20.3;34.88;41.33;36.53;20.9;28.7;34.31;18.42
Manerbio, INSURREZIONE NAZIONALE;55.41;34.18;51.21;36.34;41.82;48.11;47.04;24.03;40.4;70.36;77.3;43.09;30.77;46.36;42.23;42.39;34.69;55.06;38.26;35.67;24.6;42.24;57.63;37.91;37.79;41.43;66.54;55.04;49.04;37.5;22.77;34.21;49.27;51.39;24.93;24.76;46.12;40.63;57.77;0.0;83.19;38.37;45.87;71.74;61.08;32.87;40.99;59.48;58.86;41.56;44.75;58.47;26.0;33.07;42.03;58.46;46.14;37.3;53.75;51.3;26.53;36.33;33.79;45.65;42.88
Viadana, A. Manzoni, 2;113.74;73.04;101.05;49.03;103.82;96.78;108.88;68.12;102.4;14.23;100.21;82.78;61.25;31.24;93.22;93.65;53.59;108.62;86.98;54.13;54.17;73.19;20.62;39.88;90.87;89.2;18.07;104.88;86.72;95.61;49.78;73.07;103.8;109.06;57.28;50.51;33.23;96.77;78.3;83.47;0.22;98.1;91.93;15.53;116.63;91.69;77.51;24.88;27.59;103.56;65.27;25.4;89.56;78.6;42.07;112.0;102.36;83.91;103.59;113.3;50.49;55.13;50.3;101.87;63.4
Ricengo, Guglielmo Marconi;18.99;32.35;17.16;51.62;7.65;14.06;10.63;32.71;4.23;85.3;34.3;16.15;41.62;67.84;8.18;8.34;43.87;18.65;12.85;52.47;53.9;31.09;79.11;67.85;8.64;9.39;81.48;20.99;17.36;3.59;60.93;32.37;12.86;14.98;48.6;61.16;73.62;4.21;34.39;38.13;98.13;0.1;11.82;86.69;24.67;10.05;23.39;74.43;73.81;5.15;35.25;73.42;13.84;26.0;56.98;22.05;9.73;16.01;19.7;14.89;56.57;45.78;48.74;9.24;34.7
Ripalta Cremasca, Roma, 5;22.89;26.11;10.2;45.39;17.34;4.85;15.33;28.29;15.92;79.07;22.48;10.03;35.91;61.61;4.61;3.95;37.63;17.77;13.32;46.23;49.73;24.85;72.88;61.61;8.86;6.21;75.25;14.03;5.54;9.13;62.18;26.14;12.95;18.21;42.37;54.92;67.39;8.58;23.62;45.23;91.9;11.61;0.03;80.46;25.78;12.54;17.16;68.19;67.57;17.08;29.02;67.18;20.38;18.41;50.75;21.15;12.66;16.48;12.74;19.18;50.33;39.54;42.5;12.16;28.47
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;102.37;61.67;89.67;37.65;92.45;85.4;97.51;56.74;91.03;10.06;88.84;71.41;49.88;19.86;81.85;82.28;42.22;97.25;75.61;41.42;41.34;61.81;14.12;26.86;79.5;77.82;11.57;93.5;75.35;84.24;36.76;61.7;92.42;97.69;44.58;37.67;20.21;85.39;66.92;72.1;15.65;86.72;80.56;0.19;105.26;80.32;66.13;12.11;22.23;92.19;53.9;12.62;78.19;67.23;30.69;100.62;90.99;72.53;92.22;101.93;37.78;43.76;38.93;90.5;52.03
Rivolta d'Adda, Stefano Renzi, 5;6.93;50.89;18.67;70.17;23.5;22.02;13.37;55.75;22.3;103.84;39.47;34.7;60.69;86.39;24.05;23.66;62.41;13.35;35.03;71.01;74.5;49.63;97.65;86.39;30.58;27.93;100.03;14.22;31.75;30.85;106.62;50.91;13.62;9.44;67.14;79.7;92.16;23.08;49.83;59.5;163.09;25.51;26.21;105.23;0.0;34.26;41.93;92.97;92.35;20.85;53.79;91.96;36.88;42.5;75.52;8.21;16.0;38.21;15.66;9.44;75.11;64.32;67.28;17.71;53.24
Romanengo, Guaiarini, 14;31.04;20.73;18.34;43.56;15.88;15.24;21.1;22.01;14.46;77.24;32.4;10.22;30.92;61.78;9.36;9.52;36.55;25.92;5.39;46.41;43.2;25.02;71.05;59.78;4.92;8.56;75.42;22.17;16.17;4.63;50.23;20.75;21.09;26.36;37.3;49.86;65.56;14.69;28.33;32.68;90.07;10.16;13.0;78.63;33.93;0.0;17.33;66.37;65.75;15.63;29.19;65.36;7.84;15.3;48.92;29.29;20.2;8.55;20.88;25.36;48.51;36.89;40.67;19.71;28.64
San Bassano, Mons. Frosi;39.2;13.32;26.51;32.59;29.28;23.41;34.5;18.13;27.86;66.27;22.58;8.24;23.12;48.81;18.69;19.11;24.84;34.08;12.45;33.44;36.93;12.06;60.08;48.82;16.33;14.66;62.45;30.34;12.18;21.07;49.38;13.34;29.26;34.52;29.57;42.13;54.59;22.23;9.74;42.13;79.1;23.56;17.45;67.66;42.09;17.15;0.0;55.4;54.78;29.02;14.08;52.24;21.48;8.26;35.81;37.46;27.82;11.41;29.05;38.76;35.39;24.6;27.56;27.33;13.53
