;Ripalta Cremasca, Roma, 5;Camisano, Trieste, 57;Agnadello, Marconi, 6;Vescovato, Roma, 44;Ricengo, Guglielmo Marconi;Pianengo, Nenni;Martignana di Po, Libertà, 64;Montodine,  XXV Aprile, 10;Bonemerse, Roma, 25;Trigolo, Roma, 26;Capergnanica, XI febbraio, 7;Casalbuttano ed Uniti, Jacini, 23;Ostiano, Mazzini, 1;Fiesco, Giuseppe Parini, 10;Spino d'Adda, Circonvallazione, 13;Capralba, Piave, 2;Soresina, Giacomo Matteotti, 6;Persico Dosimo, Albert ,7;Casaletto Vaprio, Maggiore, 7;Cremona, Palosca n. 2;Cremona, Ugolani Dati, 4;Casale Cremasco-Vidolasco, Roma, 56;Sospiro, Tosi;Gussola, Comaschi, 1;Bagnolo Cremasco, Roma, 3;Casalmaggiore, Guglielmo Marconi, 8;Piadena, Platina, 40;Izano, Gerardo da Izano, 4/C;Cremona, Ugolani Dati, 4;Isola Dovarese, Giacomo Matteotti, 1;Palazzo Pignano, Marco Polo, 31;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Offanengo, Clavelli Martini, 5;San Giovanni in Croce, Feudatari, 25 A;Paderno Ponchielli, Municipio, 3;Cremona, Felice Cavallotti, 2;Castelverde, Ubaldo Ferrari, 15;Romanengo, Guaiarini, 14;Rivolta d'Adda, Stefano Renzi, 5;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Dovera, Oldrini 2;Sergnano, IV Novembre,  10;Manerbio, INSURREZIONE NAZIONALE;Monte Cremasco, Roma, 12;Grumello Cremonese ed Uniti, Roma, 2;Madignano, Portici, 4;Cremona, Ugolani Dati, 4;Vaiano Cremasco,  Gloriosi Caduti, 3;San Bassano, Mons. Frosi;Grontardo, Roma, 16;Soncino, Dante Alighieri, 23;Annicco, Giuseppe Garibaldi, 6;Cremona, Sesto 39;Crema, Civerchi, 9;Vailate, Dante Alighieri, 7;Pizzighettone, Giuseppe Garibaldi, 18;Gadesco-Pieve Delmona, Giovanni Lonati 9;Cingia de' Botti, Giuseppina, 79;Trescore Cremasco, Vittorio Veneto, 1;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Castelleone, Roma, 67;Pandino, Castello, 15
Capergnanica, XI febbraio, 7;15;2;12;5;7;14;1;11;3;3;13;5;0;9;8;6;32;15;0;0;2;1;15;8;8;7;5;1;2;7;2;3;44;4;0;1;3;9;17;12;7;8;48;34;3;17;2;8;0;3;25;4;5;126;0;4;2;6;7;1;3;18;44
Bonemerse, Roma, 25;5;0;4;3;3;2;0;6;8;2;3;0;0;1;7;1;13;9;0;1;1;0;16;7;2;1;7;0;1;5;7;1;12;5;0;0;2;1;6;9;3;5;45;4;0;5;1;1;0;1;15;1;7;58;0;6;0;4;5;1;2;4;23
Fiesco, Giuseppe Parini, 10;6;2;7;10;11;9;2;3;3;5;8;3;1;13;9;8;33;10;0;0;3;0;12;6;5;4;6;2;3;7;4;1;43;5;0;3;0;4;12;7;7;0;63;12;1;7;3;8;0;1;24;2;5;106;0;6;2;3;7;0;3;14;28
Spino d'Adda, Circonvallazione, 13;57;6;65;24;46;48;2;42;12;16;13;13;3;13;48;18;123;34;1;5;1;1;87;18;61;24;42;1;1;27;22;4;195;34;1;6;2;16;83;41;25;24;273;134;5;69;1;19;0;11;126;9;47;524;0;11;4;27;30;0;18;82;106
Persico Dosimo, Albert ,7;8;2;8;7;5;16;2;10;11;2;4;6;2;2;3;7;24;15;0;1;6;0;14;5;11;4;9;1;6;12;1;1;43;26;0;0;0;1;12;6;2;5;99;7;0;14;6;7;0;2;29;1;19;136;0;3;2;10;4;1;8;15;17
Soresina, Giacomo Matteotti, 6;33;2;42;9;7;28;3;19;7;6;10;28;1;28;26;14;84;19;0;0;6;0;29;12;20;16;19;2;6;11;10;1;111;18;2;4;6;11;35;18;13;24;310;30;4;52;6;12;0;4;56;14;23;334;0;17;6;11;17;0;11;36;45
Capralba, Piave, 2;38;0;19;24;30;22;1;53;9;5;19;2;2;8;28;29;57;20;0;0;9;0;22;7;18;14;10;1;9;24;6;6;120;18;0;3;2;12;18;39;24;14;127;38;2;72;9;18;0;5;63;3;23;358;0;14;4;16;10;0;24;44;62
Casaletto Vaprio, Maggiore, 7;6;1;5;4;4;7;0;3;0;0;1;0;0;4;4;5;4;4;11;0;2;0;3;1;6;2;2;2;2;2;2;0;9;3;0;0;0;0;3;2;1;1;29;4;0;8;2;1;0;0;4;1;1;51;0;2;0;2;5;0;1;7;5
Cremona, Palosca n. 2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;1;0;0
Cremona, Ugolani Dati, 4;2;0;1;41;3;1;0;3;1;0;59;1;0;0;1;4;3;1;0;0;1;0;1;2;2;2;1;0;1;2;0;0;8;4;0;1;0;2;1;9;0;1;7;2;1;1;1;0;0;1;1;0;2;5;1;1;0;6;0;0;2;6;8
Casale Cremasco-Vidolasco, Roma, 56;1;0;3;2;3;1;1;1;1;2;3;0;1;1;1;0;6;5;0;0;0;1;1;0;3;0;0;0;0;1;1;0;8;3;0;0;0;1;2;3;1;1;16;5;0;1;0;1;0;1;7;0;2;26;0;0;0;0;1;0;0;2;2
Sospiro, Tosi;8;1;15;2;12;13;4;12;4;3;2;0;0;4;12;7;17;9;0;0;1;0;17;3;10;8;9;0;1;9;3;0;37;7;0;0;1;3;8;4;5;12;78;13;1;15;1;1;0;1;17;0;13;129;1;6;0;8;5;1;5;11;15
Gussola, Comaschi, 1;12;2;12;9;16;7;11;8;8;3;3;2;0;3;9;9;14;12;0;0;1;1;9;26;9;10;11;1;1;4;7;1;62;18;0;2;0;2;9;9;7;5;80;16;1;15;1;11;0;1;24;2;11;126;0;5;0;16;6;0;7;12;25
Bagnolo Cremasco, Roma, 3;72;10;80;29;50;78;5;55;30;20;44;15;3;27;107;57;152;60;1;2;19;4;77;32;162;33;72;8;19;32;19;11;290;50;1;10;15;23;198;89;36;46;574;109;11;117;19;36;1;8;141;18;37;889;0;34;5;31;19;1;28;109;178
Casalmaggiore, Guglielmo Marconi, 8;65;2;57;53;58;65;14;54;36;12;28;30;4;26;71;44;181;99;0;2;4;1;100;28;49;395;82;2;4;48;21;11;266;145;0;18;13;31;107;53;37;48;1223;86;16;104;4;24;0;12;219;4;107;1316;0;41;9;43;46;12;58;85;155
Piadena, Platina, 40;39;4;37;24;43;53;19;30;27;10;23;15;3;22;48;33;110;56;1;2;2;2;82;19;27;46;204;6;2;54;20;4;175;92;1;4;10;14;61;42;30;27;573;61;9;65;2;22;0;3;134;1;83;792;1;30;3;34;33;5;28;62;122
Izano, Gerardo da Izano, 4/C;4;0;4;5;5;3;2;7;0;0;0;1;0;2;2;4;9;3;1;0;1;0;6;1;2;3;5;2;1;2;0;1;14;1;0;0;1;0;3;6;6;2;45;10;1;8;1;2;0;1;9;0;3;43;0;1;0;0;4;0;2;8;13
Palazzo Pignano, Marco Polo, 31;38;5;43;10;25;33;5;35;8;11;12;9;0;4;35;12;50;24;4;2;1;1;37;8;15;19;25;3;1;16;33;0;138;23;0;2;7;8;18;27;15;18;106;88;4;48;1;11;0;9;67;6;20;316;2;21;5;11;23;0;12;37;66
Isola Dovarese, Giacomo Matteotti, 1;12;3;6;4;6;5;1;7;7;1;5;2;1;3;9;3;27;8;0;1;1;0;9;0;4;7;7;2;1;2;1;1;25;15;0;2;0;0;11;7;3;3;75;12;2;7;1;4;0;2;33;0;4;117;0;4;0;8;9;2;6;7;17
Cremona, Ugolani Dati, 4;2;0;1;41;3;1;0;3;1;0;59;1;0;0;1;4;3;1;0;0;1;0;1;2;2;2;1;0;1;2;0;0;8;4;0;1;0;2;1;9;0;1;7;2;1;1;1;0;0;1;1;0;2;5;1;1;0;6;0;0;2;6;8
Paderno Ponchielli, Municipio, 3;2;0;3;2;2;0;1;0;0;1;0;1;0;0;1;2;3;2;0;0;0;0;2;1;3;1;1;0;0;0;0;0;4;0;0;0;1;0;1;1;1;1;7;4;1;0;0;0;0;0;2;0;2;25;0;3;0;1;1;0;0;2;6
Offanengo, Clavelli Martini, 5;118;24;138;84;107;100;21;152;55;29;68;20;7;36;116;89;228;120;1;6;2;6;161;41;86;70;92;7;2;69;53;8;246;106;0;10;8;51;92;120;56;76;891;300;12;230;2;58;1;26;300;16;118;1396;0;57;19;67;101;3;60;166;349
San Giovanni in Croce, Feudatari, 25 A;38;5;26;18;20;24;4;34;14;6;9;5;3;14;36;27;41;35;0;0;1;2;48;13;27;16;26;0;1;23;10;4;150;66;1;2;2;16;26;36;21;13;242;47;5;52;1;9;0;3;75;7;33;404;0;17;5;20;28;0;18;40;65
Camisano, Trieste, 57;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;1;1;0;2;5;1;1;1;0;0;0;0;4;0;0;7;0;0;0;2;1;0;0;0;2
Cremona, Felice Cavallotti, 2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;2;0;2;0;0;0;0;0;2;0;2;0;1;0;0;3;0;0;0;1;0;0;9;0;0;1;2;1;0;0;2;0;1;5;0;0;0;0;0;0;0;0;2
Romanengo, Guaiarini, 14;16;0;21;6;12;12;3;7;4;1;5;1;0;3;17;9;30;11;0;2;2;0;18;5;3;10;18;3;2;8;3;1;52;6;1;2;2;32;22;12;9;21;115;22;0;30;2;5;0;1;38;2;15;164;0;7;2;9;9;0;5;8;43
Rivolta d'Adda, Stefano Renzi, 5;93;5;108;52;91;84;13;85;53;13;66;46;8;47;114;66;272;151;1;5;5;4;135;22;113;102;116;9;5;84;44;9;412;65;4;15;13;59;153;60;67;81;1641;110;9;204;5;49;0;10;430;8;213;1965;1;49;21;43;63;5;46;153;211
Pescarolo ed Uniti, Giuseppe Mazzini, 73;30;4;37;14;30;21;1;43;20;9;11;9;0;10;20;24;62;13;0;1;4;3;33;9;20;20;26;0;4;22;9;4;142;24;0;5;2;12;23;99;19;20;170;51;5;45;4;12;0;7;58;5;25;348;0;16;4;23;15;0;16;43;64
Dovera, Oldrini 2;27;2;19;13;17;18;0;17;9;4;8;3;0;4;13;13;23;15;1;1;5;1;14;3;12;13;13;1;5;13;5;0;84;11;0;2;1;4;16;14;30;13;186;19;2;26;5;11;0;0;40;1;20;247;0;9;1;10;12;1;10;23;50
Sergnano, IV Novembre,  10;92;6;87;53;51;72;6;78;38;10;25;16;6;23;63;63;138;80;2;5;20;3;80;23;71;61;80;3;20;41;25;15;314;50;1;5;10;31;70;85;40;39;364;148;17;126;20;33;0;14;166;8;65;926;0;38;8;36;57;0;36;86;157
Manerbio, INSURREZIONE NAZIONALE;994;126;1032;470;801;694;133;532;404;213;619;206;53;314;791;676;1936;987;27;42;31;22;1112;286;760;953;963;60;31;598;346;40;3958;741;12;100;94;322;1723;713;495;722;0;964;129;1566;31;377;0;98;2533;38;1320;20176;33;389;130;405;698;69;614;1048;1441
Monte Cremasco, Roma, 12;5;0;10;5;12;11;0;9;1;0;5;2;0;1;10;10;27;8;0;0;2;0;6;1;8;5;5;2;2;4;10;2;48;7;1;0;4;2;9;5;4;5;56;37;2;13;2;7;0;4;15;0;8;137;0;3;1;5;9;0;3;17;31
Grumello Cremonese ed Uniti, Roma, 2;6;0;5;2;2;1;0;4;6;3;2;0;0;1;2;5;8;7;0;1;4;0;4;0;0;2;1;2;4;2;0;0;15;4;2;0;1;2;0;8;2;4;42;0;11;10;4;1;0;0;3;2;2;32;0;1;1;5;0;9;3;8;9
Madignano, Portici, 4;31;2;26;13;16;23;4;15;13;4;14;3;1;22;17;14;42;14;0;0;1;4;18;9;14;21;21;5;1;11;7;1;88;22;0;1;0;4;29;26;17;15;283;53;4;58;1;12;0;2;46;1;22;305;0;7;5;10;8;2;17;29;51
San Bassano, Mons. Frosi;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;1;0;1;1;1
Cremona, Ugolani Dati, 4;2;0;1;41;3;1;0;3;1;0;59;1;0;0;1;4;3;1;0;0;1;0;1;2;2;2;1;0;1;2;0;0;8;4;0;1;0;2;1;9;0;1;7;2;1;1;1;0;0;1;1;0;2;5;1;1;0;6;0;0;2;6;8
Vaiano Cremasco,  Gloriosi Caduti, 3;10;0;5;6;9;9;1;13;6;2;5;1;0;0;5;12;8;5;1;0;3;0;8;4;6;4;3;0;3;3;1;1;48;6;0;1;0;4;7;5;4;4;105;15;1;12;3;28;0;0;25;1;10;126;0;2;1;5;5;0;5;14;23
Grontardo, Roma, 16;21;2;15;5;12;11;6;15;5;6;4;3;0;0;14;9;34;10;0;1;1;0;20;5;5;8;9;0;1;11;2;1;57;18;1;1;2;4;15;18;7;1;88;16;1;25;1;6;0;12;35;0;8;136;0;6;3;8;6;1;6;17;32
Soncino, Dante Alighieri, 23;35;3;44;9;19;28;1;14;16;15;13;5;1;11;26;8;73;23;1;3;4;2;34;4;21;22;15;0;4;16;14;2;101;20;0;3;1;17;38;23;14;25;325;33;1;53;4;5;0;5;116;5;24;362;0;10;2;16;20;0;12;30;63
Annicco, Giuseppe Garibaldi, 6;4;1;6;1;2;2;1;2;3;0;0;0;0;2;1;3;6;2;0;0;0;0;0;1;1;2;2;0;0;2;0;0;8;2;1;0;0;0;1;1;1;1;5;3;0;4;0;3;0;1;2;7;2;14;0;1;0;0;1;0;1;3;3
Cremona, Sesto 39;5;0;3;2;3;2;0;1;4;0;4;0;0;6;2;6;10;6;0;0;1;0;8;1;2;4;6;2;1;4;0;0;19;8;0;1;0;2;11;2;0;7;155;8;2;7;1;1;0;2;19;1;52;101;0;2;1;4;4;0;5;3;7
Crema, Civerchi, 9;184;17;157;83;120;160;11;80;46;53;81;39;3;71;147;90;331;110;6;3;3;7;179;40;118;102;120;10;3;73;102;12;591;99;22;17;11;51;249;109;93;102;2540;179;12;261;3;45;0;14;370;35;187;1417;3;64;24;50;125;5;59;216;285
Vailate, Dante Alighieri, 7;17;3;20;9;7;12;1;3;2;5;1;1;0;7;12;8;24;12;0;0;1;0;18;2;7;4;9;1;1;11;8;1;58;10;0;1;2;3;13;3;9;6;187;13;3;11;1;10;0;0;18;0;9;183;48;4;1;4;14;1;4;24;22
Pizzighettone, Giuseppe Garibaldi, 18;28;2;17;9;22;30;2;17;21;12;12;8;0;9;26;26;49;21;0;2;8;0;37;6;24;13;29;1;8;17;7;3;116;23;0;0;2;10;31;30;11;16;420;32;5;45;8;12;0;3;48;5;29;386;0;80;3;11;15;5;14;36;68
Gadesco-Pieve Delmona, Giovanni Lonati 9;30;5;27;15;30;23;9;23;24;9;11;12;1;7;37;14;78;28;3;2;5;0;32;9;29;15;29;0;5;19;9;1;117;40;1;4;4;17;38;25;18;22;400;54;1;60;5;10;0;3;58;3;39;453;0;28;110;20;51;4;13;37;62
Cingia de' Botti, Giuseppina, 79;15;2;9;9;5;11;2;9;5;4;8;1;1;4;13;10;27;19;1;0;1;0;18;6;10;7;6;0;1;7;5;0;57;16;0;0;2;4;12;9;12;7;122;20;3;17;1;7;0;5;31;0;10;147;1;2;1;1436;9;1;25;20;25
Trescore Cremasco, Vittorio Veneto, 1;29;1;15;8;4;20;0;8;8;6;9;4;0;3;7;17;26;13;0;0;5;0;24;5;11;6;9;5;5;11;13;1;67;10;0;3;0;3;25;6;4;15;179;11;0;34;5;4;0;0;25;3;23;212;0;6;3;2;32;0;4;21;33
Sesto ed Uniti, Roma, 4;5;1;3;2;3;3;0;0;0;1;1;0;1;0;2;0;15;4;0;0;1;0;4;0;2;3;2;0;1;5;0;0;3;4;0;0;1;1;1;3;0;4;13;2;1;1;1;1;0;0;8;1;5;37;0;3;0;2;3;4;2;3;7
Solarolo Rainerio, Giuseppina, 81;33;6;30;23;25;36;7;35;23;7;20;5;1;6;29;38;52;44;2;0;2;0;37;9;22;25;25;0;2;20;7;7;156;47;0;3;2;25;28;27;21;22;170;76;4;58;2;10;0;14;88;3;29;456;1;28;4;43;23;1;29;55;76
Castelleone, Roma, 67;146;15;119;57;117;127;16;120;48;43;55;83;3;61;124;73;301;125;6;8;2;11;164;54;94;99;120;11;2;73;89;11;460;87;8;16;11;41;145;118;85;87;864;194;16;232;2;58;0;12;289;15;130;1582;1;66;13;63;86;2;65;298;312
Pandino, Castello, 15;27;10;32;22;16;22;1;28;10;6;15;7;1;17;28;20;36;31;1;1;5;1;39;15;25;14;24;3;5;8;15;4;130;26;1;1;2;2;28;29;17;25;249;45;3;42;5;8;0;1;51;5;17;364;0;19;4;15;16;3;11;42;92
