;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Grumello Cremonese ed Uniti, Roma, 2;42.43;6.5;33.28;25.75;35.0;28.65;39.37;16.77;34.18;56.0;21.93;14.43;16.75;35.65;28.63;21.92;37.83;20.08;25.62;29.98;0.88;49.0;38.85;22.72;21.85;50.55;35.47;19.08;28.07;38.23;6.47;34.08;38.03;22.37;32.45;42.45;31.8;14.17;44.32;70.55;31.7;24.05;57.8;44.77;23.07;11.8;44.52;44.27;35.22;5.5;41.3;26.2;12.73;29.65;39.53;37.92;16.77;34.17;44.53;29.85;23.33;23.22;38.63;7.7
Gussola, Comaschi, 1;83.83;49.18;76.13;26.45;77.62;71.53;81.75;45.93;75.95;12.95;60.28;57.17;41.37;12.92;70.72;36.03;80.7;62.27;30.33;31.62;48.83;0.77;27.43;64.92;63.45;5.65;77.4;61.93;71.4;33.43;49.22;75.87;81.48;34.33;27.45;18.37;74.3;56.77;53.88;25.97;74.3;67.4;17.97;88.28;65.88;54.5;9.78;10.67;77.25;45.03;8.42;67.12;55.57;20.33;82.9;80.18;58.92;76.5;86.97;28.35;37.33;28.27;81.23;40.47
Isola Dovarese, Giacomo Matteotti, 1;72.67;38.07;64.37;24.5;65.68;59.62;72.17;35.87;64.62;30.45;48.82;46.25;30.45;19.72;60.43;25.97;69.93;51.12;16.52;17.03;37.72;26.52;0.0;54.45;52.27;24.9;67.45;50.17;59.13;12.37;38.8;66.1;69.17;20.22;12.87;11.32;63.08;45.25;38.22;43.5;62.08;56.47;28.6;75.9;54.95;43.58;16.57;25.18;65.87;34.07;18.85;56.23;44.92;17.87;70.8;70.48;47.78;65.37;75.73;14.08;34.1;22.97;70.55;29.97
Izano, Gerardo da Izano, 4/C;24.65;22.23;17.25;43.62;14.52;13.12;19.75;25.23;13.58;76.45;31.93;10.9;33.98;53.85;10.63;38.98;20.18;5.22;43.0;44.47;23.37;66.87;57.2;0.0;5.98;68.37;18.2;16.35;6.52;53.68;22.23;16.55;20.98;40.18;50.37;61.92;13.68;28.22;37.42;88.32;11.12;9.48;75.65;28.18;5.07;18.9;61.75;62.03;14.7;26.73;59.63;13.43;15.68;47.42;22.58;18.6;7.28;17.47;24.68;48.08;40.55;41.1;18.53;25.48
Madignano, Portici, 4;23.5;22.07;15.55;40.42;15.98;11.67;20.82;29.93;14.97;74.37;28.45;8.98;32.43;50.62;9.78;37.7;18.73;11.63;41.58;46.62;20.63;63.9;52.67;6.38;0.0;65.5;16.6;13.02;10.97;53.28;22.13;15.25;19.53;38.08;47.5;57.6;13.48;24.98;43.87;84.2;12.58;7.98;72.02;26.63;11.48;16.78;60.32;59.17;16.43;25.05;57.53;19.88;19.33;44.55;21.28;19.78;13.45;15.88;26.03;44.03;38.47;37.8;19.83;23.37
Martignana di Po, Libertà, 64;87.68;52.65;79.0;30.17;80.8;74.4;85.57;49.73;79.77;13.2;63.03;60.07;44.37;16.67;73.9;39.47;83.18;65.98;33.77;33.98;52.62;6.62;26.45;68.62;67.28;0.72;81.15;65.25;74.23;33.3;52.6;79.58;84.13;37.45;29.65;17.47;77.95;59.73;56.6;25.03;77.18;70.43;17.23;90.77;69.02;57.72;10.48;13.03;80.57;47.97;11.28;70.05;59.45;23.67;85.62;83.85;62.5;80.27;90.78;31.33;41.02;31.42;83.78;43.82
Monte Cremasco, Roma, 12;13.77;35.5;7.72;53.87;24.67;10.17;18.2;43.28;21.22;84.35;30.02;22.82;45.9;64.07;14.63;49.63;8.0;22.93;53.58;58.4;34.83;78.2;68.18;17.73;16.18;80.08;0.0;18.7;19.48;66.68;36.35;5.12;8.97;50.28;60.97;71.12;17.02;35.87;54.52;93.83;19.97;12.2;85.37;16.98;21.28;29.73;72.33;72.62;18.42;37.42;69.67;29.57;32.78;58.0;11.67;10.55;25.02;3.42;20.3;59.03;51.75;52.37;12.8;35.87
Montodine,  XXV Aprile, 10;25.4;19.75;15.37;38.08;22.42;10.6;25.53;28.83;21.85;68.57;18.82;6.88;28.93;49.37;14.27;35.17;20.88;14.37;39.1;44.15;18.87;61.58;52.42;15.73;13.08;63.18;18.78;0.17;17.52;52.48;20.38;17.73;22.28;35.62;45.18;55.32;18.78;18.22;50.2;82.03;18.82;6.55;69.68;29.15;17.65;14.32;57.87;58.07;22.57;21.68;53.92;26.28;17.95;42.25;23.3;22.9;17.2;17.98;30.73;43.37;34.8;35.5;22.97;20.88
Offanengo, Clavelli Martini, 5;25.25;27.65;19.52;49.8;10.83;15.55;16.63;28.18;10.5;83.3;36.17;15.95;37.52;60.0;12.13;46.33;23.0;10.4;50.25;48.93;28.7;73.57;62.13;5.77;11.4;74.83;20.33;18.43;0.55;57.47;27.33;18.68;21.05;46.13;54.18;67.15;10.43;34.33;39.55;93.35;7.13;11.73;81.33;30.33;6.02;24.03;69.65;69.27;11.58;31.82;65.63;14.42;20.83;54.05;25.27;15.37;12.53;19.53;21.37;52.62;46.68;47.77;15.55;30.6
Ostiano, Mazzini, 1;68.63;38.77;65.38;25.25;61.1;60.45;70.48;33.13;64.33;36.68;50.25;47.0;31.32;20.77;60.15;27.28;68.88;52.4;16.2;12.12;39.13;32.83;13.43;55.18;54.25;31.67;67.9;51.72;60.28;0.23;39.57;65.27;71.12;18.35;8.58;17.67;63.65;45.9;30.05;51.35;63.75;56.12;35.02;69.15;53.12;44.3;22.88;28.85;65.38;34.93;25.18;51.97;41.55;18.72;72.63;69.25;48.98;67.3;66.48;11.53;31.23;23.65;69.25;30.78
