origin;destination;num_orders
BAGNOLO CREMASCO;CASTELLEONE;109
CREMA;PESCAROLO ED UNITI;109
BAGNOLO CREMASCO;MONTE CREMASCO;109
RIVOLTA D'ADDA;Agnadello;108
CASALMAGGIORE;CREMONA - CDA;107
CASALMAGGIORE;RIVOLTA D'ADDA;107
OFFANENGO;RICENGO;107
BAGNOLO CREMASCO;SPINO D'ADDA;107
FIESCO;CREMA;106
OFFANENGO;SAN GIOVANNI IN CROCE;106
PALAZZO PIGNANO;BRESCIA;106
SPINO D'ADDA;PANDINO;106
VAIANO CREMASCO;BRESCIA;105
CASALMAGGIORE;MADIGNANO;104
RIVOLTA D'ADDA;CASALMAGGIORE;102
CREMA;CASALMAGGIORE;102
CREMA;SERGNANO;102
CREMA;PALAZZO PIGNANO;102
OFFANENGO;TRESCORE CREMASCO;101
CREMONA - CDA;CREMA;101
SONCINO;OFFANENGO;101
BRESCIA;Cremona - Manin (scolastica);100
OFFANENGO;PIANENGO;100
TRIGOLO;CREMA;100
CASALMAGGIORE;SOSPIRO;100
PESCAROLO ED UNITI;PESCAROLO ED UNITI;99
CASALMAGGIORE;PERSICO DOSIMO;99
CREMA;SAN GIOVANNI IN CROCE;99
CASTELLEONE;CASALMAGGIORE;99
PERSICO DOSIMO;BRESCIA;99
BRESCIA;GRONTARDO;98
PIANENGO;OFFANENGO;97
Agnadello;OFFANENGO;96
CASTELLEONE;BAGNOLO CREMASCO;94
BRESCIA;CASTELVERDE;94
RIVOLTA D'ADDA;RIPALTA CREMASCA;93
CREMA;DOVERA;93
SERGNANO;RIPALTA CREMASCA;92
OFFANENGO;PIADENA DRIZZONA;92
PANDINO;PANDINO;92
OFFANENGO;RIVOLTA D'ADDA;92
PIADENA DRIZZONA;SAN GIOVANNI IN CROCE;92
RIVOLTA D'ADDA;RICENGO;91
CREMA;CAPRALBA;90
CASTELLEONE;PALAZZO PIGNANO;89
BAGNOLO CREMASCO;PESCAROLO ED UNITI;89
OFFANENGO;CAPRALBA;89
