;start;start_day;destination;destination_day;product
79;Annicco, Giuseppe Garibaldi, 6;2;Grontardo, Roma, 16;3;1
80;Annicco, Giuseppe Garibaldi, 6;2;Grumello Cremonese ed Uniti, Roma, 2;0;0
81;Annicco, Giuseppe Garibaldi, 6;2;Isola Dovarese, Giacomo Matteotti, 1;3;2
82;Annicco, Giuseppe Garibaldi, 6;2;Izano, Gerardo da Izano, 4/C;3;0
83;Annicco, Giuseppe Garibaldi, 6;2;Madignano, Portici, 4;2;28
84;Annicco, Giuseppe Garibaldi, 6;2;Monte Cremasco, Roma, 12;4;6
85;Annicco, Giuseppe Garibaldi, 6;2;Montodine,  XXV Aprile, 10;0;10
86;Annicco, Giuseppe Garibaldi, 6;2;Offanengo, Clavelli Martini, 5;3;8
87;Annicco, Giuseppe Garibaldi, 6;2;Ostiano, Mazzini, 1;1;0
88;Annicco, Giuseppe Garibaldi, 6;2;Ostiano, Mazzini, 1;3;0
89;Annicco, Giuseppe Garibaldi, 6;2;Palazzo Pignano, Marco Polo, 31;2;0
90;Annicco, Giuseppe Garibaldi, 6;2;Pandino, Castello, 15;2;21
91;Annicco, Giuseppe Garibaldi, 6;2;Pandino, Castello, 15;4;6
92;Annicco, Giuseppe Garibaldi, 6;2;Persico Dosimo, Albert ,7;1;12
93;Annicco, Giuseppe Garibaldi, 6;2;Persico Dosimo, Albert ,7;3;2
94;Annicco, Giuseppe Garibaldi, 6;2;Piadena, Platina, 40;3;2
95;Annicco, Giuseppe Garibaldi, 6;2;Pizzighettone, Giuseppe Garibaldi, 18;0;5
96;Annicco, Giuseppe Garibaldi, 6;2;Manerbio, INSURREZIONE NAZIONALE;3;5
97;Annicco, Giuseppe Garibaldi, 6;2;Ricengo, Guglielmo Marconi;0;10
98;Annicco, Giuseppe Garibaldi, 6;2;Ripalta Cremasca, Roma, 5;0;20
99;Annicco, Giuseppe Garibaldi, 6;2;Rivolta d'Adda, Stefano Renzi, 5;2;7
100;Annicco, Giuseppe Garibaldi, 6;2;Rivolta d'Adda, Stefano Renzi, 5;4;2
101;Annicco, Giuseppe Garibaldi, 6;2;Romanengo, Guaiarini, 14;2;0
102;Annicco, Giuseppe Garibaldi, 6;2;San Giovanni in Croce, Feudatari, 25 A;1;12
103;Annicco, Giuseppe Garibaldi, 6;2;San Giovanni in Croce, Feudatari, 25 A;3;2
104;Annicco, Giuseppe Garibaldi, 6;2;Scandolara Ravara, Italia;1;0
105;Annicco, Giuseppe Garibaldi, 6;2;Sergnano, IV Novembre,  10;0;5
106;Annicco, Giuseppe Garibaldi, 6;2;Sesto ed Uniti, Roma, 4;0;0
107;Annicco, Giuseppe Garibaldi, 6;2;Soncino, Dante Alighieri, 23;0;10
108;Annicco, Giuseppe Garibaldi, 6;2;Soresina, Giacomo Matteotti, 6;0;30
109;Annicco, Giuseppe Garibaldi, 6;2;Spino d'Adda, Circonvallazione, 13;2;7
110;Annicco, Giuseppe Garibaldi, 6;2;Spino d'Adda, Circonvallazione, 13;4;2
111;Annicco, Giuseppe Garibaldi, 6;2;Trescore Cremasco, Vittorio Veneto, 1;4;2
112;Annicco, Giuseppe Garibaldi, 6;2;Trigolo, Roma, 26;0;0
113;Annicco, Giuseppe Garibaldi, 6;2;Vaiano Cremasco,  Gloriosi Caduti, 3;4;6
114;Annicco, Giuseppe Garibaldi, 6;2;Vailate, Dante Alighieri, 7;1;0
115;Annicco, Giuseppe Garibaldi, 6;2;Vescovato, Roma, 44;3;1
116;Annicco, Giuseppe Garibaldi, 6;2;Casaletto Vaprio, Maggiore, 7;4;0
117;Annicco, Giuseppe Garibaldi, 6;2;Cremona, Sesto 39;3;2
118;Bagnolo Cremasco, Roma, 3;4;Agnadello, Marconi, 6;4;560
119;Bagnolo Cremasco, Roma, 3;4;Annicco, Giuseppe Garibaldi, 6;2;90
120;Bagnolo Cremasco, Roma, 3;4;Bagnolo Cremasco, Roma, 3;4;1134
121;Bagnolo Cremasco, Roma, 3;4;Camisano, Trieste, 57;0;30
122;Bagnolo Cremasco, Roma, 3;4;Capergnanica, XI febbraio, 7;4;308
123;Bagnolo Cremasco, Roma, 3;4;Capralba, Piave, 2;0;171
124;Bagnolo Cremasco, Roma, 3;4;Casale Cremasco-Vidolasco, Roma, 56;0;12
125;Bagnolo Cremasco, Roma, 3;4;Casalmaggiore, Guglielmo Marconi, 8;1;132
126;Bagnolo Cremasco, Roma, 3;4;Casalmaggiore, Guglielmo Marconi, 8;3;198
127;Bagnolo Cremasco, Roma, 3;4;Casalpusterlengo, Pusterla 7;1;0
128;Bagnolo Cremasco, Roma, 3;4;Castelleone, Roma, 67;0;327
129;Bagnolo Cremasco, Roma, 3;4;Castelleone, Roma, 67;2;545
130;Bagnolo Cremasco, Roma, 3;4;Castelverde, Ubaldo Ferrari, 15;2;75
131;Bagnolo Cremasco, Roma, 3;4;Crema, Civerchi, 9;1;3556
132;Bagnolo Cremasco, Roma, 3;4;Crema, Civerchi, 9;2;4445
133;Bagnolo Cremasco, Roma, 3;4;Crema, Civerchi, 9;3;5334
134;Bagnolo Cremasco, Roma, 3;4;Crema, Civerchi, 9;4;6223
135;Bagnolo Cremasco, Roma, 3;4;Cremona, Ugolani Dati, 4;1;76
136;Bagnolo Cremasco, Roma, 3;4;Cremona, Ugolani Dati, 4;3;114
137;Bagnolo Cremasco, Roma, 3;4;Dovera, Oldrini 2;4;252
138;Bagnolo Cremasco, Roma, 3;4;Grontardo, Roma, 16;3;48
139;Bagnolo Cremasco, Roma, 3;4;Grumello Cremonese ed Uniti, Roma, 2;0;33
140;Bagnolo Cremasco, Roma, 3;4;Isola Dovarese, Giacomo Matteotti, 1;3;192
141;Bagnolo Cremasco, Roma, 3;4;Izano, Gerardo da Izano, 4/C;3;48
142;Bagnolo Cremasco, Roma, 3;4;Madignano, Portici, 4;2;585
143;Bagnolo Cremasco, Roma, 3;4;Monte Cremasco, Roma, 12;4;763
144;Bagnolo Cremasco, Roma, 3;4;Montodine,  XXV Aprile, 10;0;165
145;Bagnolo Cremasco, Roma, 3;4;Offanengo, Clavelli Martini, 5;3;1740
146;Bagnolo Cremasco, Roma, 3;4;Ostiano, Mazzini, 1;1;12
147;Bagnolo Cremasco, Roma, 3;4;Ostiano, Mazzini, 1;3;18
148;Bagnolo Cremasco, Roma, 3;4;Palazzo Pignano, Marco Polo, 31;2;95
149;Bagnolo Cremasco, Roma, 3;4;Pandino, Castello, 15;2;890
150;Bagnolo Cremasco, Roma, 3;4;Pandino, Castello, 15;4;1246
151;Bagnolo Cremasco, Roma, 3;4;Persico Dosimo, Albert ,7;1;240
152;Bagnolo Cremasco, Roma, 3;4;Persico Dosimo, Albert ,7;3;360
153;Bagnolo Cremasco, Roma, 3;4;Piadena, Platina, 40;3;432
154;Bagnolo Cremasco, Roma, 3;4;Pizzighettone, Giuseppe Garibaldi, 18;0;102
155;Bagnolo Cremasco, Roma, 3;4;Manerbio, INSURREZIONE NAZIONALE;3;3444
156;Bagnolo Cremasco, Roma, 3;4;Ricengo, Guglielmo Marconi;0;150
157;Bagnolo Cremasco, Roma, 3;4;Ripalta Cremasca, Roma, 5;0;216
158;Bagnolo Cremasco, Roma, 3;4;Rivolta d'Adda, Stefano Renzi, 5;2;990
159;Bagnolo Cremasco, Roma, 3;4;Rivolta d'Adda, Stefano Renzi, 5;4;1386
160;Bagnolo Cremasco, Roma, 3;4;Romanengo, Guaiarini, 14;2;115
161;Bagnolo Cremasco, Roma, 3;4;San Giovanni in Croce, Feudatari, 25 A;1;200
162;Bagnolo Cremasco, Roma, 3;4;San Giovanni in Croce, Feudatari, 25 A;3;300
163;Bagnolo Cremasco, Roma, 3;4;Scandolara Ravara, Italia;1;0
164;Bagnolo Cremasco, Roma, 3;4;Sergnano, IV Novembre,  10;0;138
165;Bagnolo Cremasco, Roma, 3;4;Sesto ed Uniti, Roma, 4;0;3
166;Bagnolo Cremasco, Roma, 3;4;Soncino, Dante Alighieri, 23;0;423
167;Bagnolo Cremasco, Roma, 3;4;Soresina, Giacomo Matteotti, 6;0;456
168;Bagnolo Cremasco, Roma, 3;4;Spino d'Adda, Circonvallazione, 13;2;535
169;Bagnolo Cremasco, Roma, 3;4;Spino d'Adda, Circonvallazione, 13;4;749
170;Bagnolo Cremasco, Roma, 3;4;Trescore Cremasco, Vittorio Veneto, 1;4;133
171;Bagnolo Cremasco, Roma, 3;4;Trigolo, Roma, 26;0;60
172;Bagnolo Cremasco, Roma, 3;4;Vaiano Cremasco,  Gloriosi Caduti, 3;4;252
173;Bagnolo Cremasco, Roma, 3;4;Vailate, Dante Alighieri, 7;1;0
174;Bagnolo Cremasco, Roma, 3;4;Vescovato, Roma, 44;3;174
175;Bagnolo Cremasco, Roma, 3;4;Casaletto Vaprio, Maggiore, 7;4;7
176;Bagnolo Cremasco, Roma, 3;4;Cremona, Sesto 39;3;222
177;Camisano, Trieste, 57;0;Agnadello, Marconi, 6;4;0
178;Camisano, Trieste, 57;0;Annicco, Giuseppe Garibaldi, 6;2;0
179;Camisano, Trieste, 57;0;Bagnolo Cremasco, Roma, 3;4;0
180;Camisano, Trieste, 57;0;Camisano, Trieste, 57;0;0
181;Camisano, Trieste, 57;0;Capergnanica, XI febbraio, 7;4;0
182;Camisano, Trieste, 57;0;Capralba, Piave, 2;0;0
183;Camisano, Trieste, 57;0;Casale Cremasco-Vidolasco, Roma, 56;0;0
184;Camisano, Trieste, 57;0;Casalmaggiore, Guglielmo Marconi, 8;1;0
185;Camisano, Trieste, 57;0;Casalmaggiore, Guglielmo Marconi, 8;3;0
186;Camisano, Trieste, 57;0;Casalpusterlengo, Pusterla 7;1;0
187;Camisano, Trieste, 57;0;Castelleone, Roma, 67;0;0
188;Camisano, Trieste, 57;0;Castelleone, Roma, 67;2;0
189;Camisano, Trieste, 57;0;Castelverde, Ubaldo Ferrari, 15;2;0
190;Camisano, Trieste, 57;0;Crema, Civerchi, 9;1;7
191;Camisano, Trieste, 57;0;Crema, Civerchi, 9;2;14
192;Camisano, Trieste, 57;0;Crema, Civerchi, 9;3;21
193;Camisano, Trieste, 57;0;Crema, Civerchi, 9;4;28
194;Camisano, Trieste, 57;0;Cremona, Ugolani Dati, 4;1;0
195;Camisano, Trieste, 57;0;Cremona, Ugolani Dati, 4;3;0
196;Camisano, Trieste, 57;0;Dovera, Oldrini 2;4;0
197;Camisano, Trieste, 57;0;Grontardo, Roma, 16;3;0
198;Camisano, Trieste, 57;0;Grumello Cremonese ed Uniti, Roma, 2;0;7
199;Camisano, Trieste, 57;0;Isola Dovarese, Giacomo Matteotti, 1;3;0
200;Camisano, Trieste, 57;0;Izano, Gerardo da Izano, 4/C;3;3
201;Camisano, Trieste, 57;0;Madignano, Portici, 4;2;2
202;Camisano, Trieste, 57;0;Monte Cremasco, Roma, 12;4;4
203;Camisano, Trieste, 57;0;Montodine,  XXV Aprile, 10;0;7
204;Camisano, Trieste, 57;0;Offanengo, Clavelli Martini, 5;3;15
205;Camisano, Trieste, 57;0;Ostiano, Mazzini, 1;1;0
206;Camisano, Trieste, 57;0;Ostiano, Mazzini, 1;3;0
207;Camisano, Trieste, 57;0;Palazzo Pignano, Marco Polo, 31;2;0
208;Camisano, Trieste, 57;0;Pandino, Castello, 15;2;4
209;Camisano, Trieste, 57;0;Pandino, Castello, 15;4;8
210;Camisano, Trieste, 57;0;Persico Dosimo, Albert ,7;1;1
211;Camisano, Trieste, 57;0;Persico Dosimo, Albert ,7;3;3
212;Camisano, Trieste, 57;0;Piadena, Platina, 40;3;0
213;Camisano, Trieste, 57;0;Pizzighettone, Giuseppe Garibaldi, 18;0;0
214;Camisano, Trieste, 57;0;Manerbio, INSURREZIONE NAZIONALE;3;15
215;Camisano, Trieste, 57;0;Ricengo, Guglielmo Marconi;0;0
216;Camisano, Trieste, 57;0;Ripalta Cremasca, Roma, 5;0;0
217;Camisano, Trieste, 57;0;Rivolta d'Adda, Stefano Renzi, 5;2;2
218;Camisano, Trieste, 57;0;Rivolta d'Adda, Stefano Renzi, 5;4;4
219;Camisano, Trieste, 57;0;Romanengo, Guaiarini, 14;2;0
220;Camisano, Trieste, 57;0;San Giovanni in Croce, Feudatari, 25 A;1;0
221;Camisano, Trieste, 57;0;San Giovanni in Croce, Feudatari, 25 A;3;0
222;Camisano, Trieste, 57;0;Scandolara Ravara, Italia;1;0
223;Camisano, Trieste, 57;0;Sergnano, IV Novembre,  10;0;14
224;Camisano, Trieste, 57;0;Sesto ed Uniti, Roma, 4;0;0
225;Camisano, Trieste, 57;0;Soncino, Dante Alighieri, 23;0;28
226;Camisano, Trieste, 57;0;Soresina, Giacomo Matteotti, 6;0;7
227;Camisano, Trieste, 57;0;Spino d'Adda, Circonvallazione, 13;2;0
228;Camisano, Trieste, 57;0;Spino d'Adda, Circonvallazione, 13;4;0
229;Camisano, Trieste, 57;0;Trescore Cremasco, Vittorio Veneto, 1;4;4
230;Camisano, Trieste, 57;0;Trigolo, Roma, 26;0;7
231;Camisano, Trieste, 57;0;Vaiano Cremasco,  Gloriosi Caduti, 3;4;0
232;Camisano, Trieste, 57;0;Vailate, Dante Alighieri, 7;1;0
233;Camisano, Trieste, 57;0;Vescovato, Roma, 44;3;3
234;Camisano, Trieste, 57;0;Casaletto Vaprio, Maggiore, 7;4;0
235;Camisano, Trieste, 57;0;Cremona, Sesto 39;3;0
236;Capergnanica, XI febbraio, 7;4;Agnadello, Marconi, 6;4;84
237;Capergnanica, XI febbraio, 7;4;Annicco, Giuseppe Garibaldi, 6;2;20
238;Capergnanica, XI febbraio, 7;4;Bagnolo Cremasco, Roma, 3;4;56
239;Capergnanica, XI febbraio, 7;4;Camisano, Trieste, 57;0;6
240;Capergnanica, XI febbraio, 7;4;Capergnanica, XI febbraio, 7;4;91
241;Capergnanica, XI febbraio, 7;4;Capralba, Piave, 2;0;18
242;Capergnanica, XI febbraio, 7;4;Casale Cremasco-Vidolasco, Roma, 56;0;3
243;Capergnanica, XI febbraio, 7;4;Casalmaggiore, Guglielmo Marconi, 8;1;28
244;Capergnanica, XI febbraio, 7;4;Casalmaggiore, Guglielmo Marconi, 8;3;42
245;Capergnanica, XI febbraio, 7;4;Casalpusterlengo, Pusterla 7;1;0
246;Capergnanica, XI febbraio, 7;4;Castelleone, Roma, 67;0;54
247;Capergnanica, XI febbraio, 7;4;Castelleone, Roma, 67;2;90
248;Capergnanica, XI febbraio, 7;4;Castelverde, Ubaldo Ferrari, 15;2;15
249;Capergnanica, XI febbraio, 7;4;Crema, Civerchi, 9;1;504
250;Capergnanica, XI febbraio, 7;4;Crema, Civerchi, 9;2;630
251;Capergnanica, XI febbraio, 7;4;Crema, Civerchi, 9;3;756
252;Capergnanica, XI febbraio, 7;4;Crema, Civerchi, 9;4;882
253;Capergnanica, XI febbraio, 7;4;Cremona, Ugolani Dati, 4;1;8
254;Capergnanica, XI febbraio, 7;4;Cremona, Ugolani Dati, 4;3;12
255;Capergnanica, XI febbraio, 7;4;Dovera, Oldrini 2;4;49
256;Capergnanica, XI febbraio, 7;4;Grontardo, Roma, 16;3;18
257;Capergnanica, XI febbraio, 7;4;Grumello Cremonese ed Uniti, Roma, 2;0;9
258;Capergnanica, XI febbraio, 7;4;Isola Dovarese, Giacomo Matteotti, 1;3;42
259;Capergnanica, XI febbraio, 7;4;Izano, Gerardo da Izano, 4/C;3;6
260;Capergnanica, XI febbraio, 7;4;Madignano, Portici, 4;2;85
261;Capergnanica, XI febbraio, 7;4;Monte Cremasco, Roma, 12;4;238
262;Capergnanica, XI febbraio, 7;4;Montodine,  XXV Aprile, 10;0;33
263;Capergnanica, XI febbraio, 7;4;Offanengo, Clavelli Martini, 5;3;264
264;Capergnanica, XI febbraio, 7;4;Ostiano, Mazzini, 1;1;0
265;Capergnanica, XI febbraio, 7;4;Ostiano, Mazzini, 1;3;0
266;Capergnanica, XI febbraio, 7;4;Palazzo Pignano, Marco Polo, 31;2;10
267;Capergnanica, XI febbraio, 7;4;Pandino, Castello, 15;2;220
268;Capergnanica, XI febbraio, 7;4;Pandino, Castello, 15;4;308
269;Capergnanica, XI febbraio, 7;4;Persico Dosimo, Albert ,7;1;60
270;Capergnanica, XI febbraio, 7;4;Persico Dosimo, Albert ,7;3;90
271;Capergnanica, XI febbraio, 7;4;Piadena, Platina, 40;3;30
272;Capergnanica, XI febbraio, 7;4;Pizzighettone, Giuseppe Garibaldi, 18;0;12
273;Capergnanica, XI febbraio, 7;4;Manerbio, INSURREZIONE NAZIONALE;3;288
274;Capergnanica, XI febbraio, 7;4;Ricengo, Guglielmo Marconi;0;21
275;Capergnanica, XI febbraio, 7;4;Ripalta Cremasca, Roma, 5;0;45
276;Capergnanica, XI febbraio, 7;4;Rivolta d'Adda, Stefano Renzi, 5;2;85
277;Capergnanica, XI febbraio, 7;4;Rivolta d'Adda, Stefano Renzi, 5;4;119
278;Capergnanica, XI febbraio, 7;4;Romanengo, Guaiarini, 14;2;45
279;Capergnanica, XI febbraio, 7;4;San Giovanni in Croce, Feudatari, 25 A;1;16
280;Capergnanica, XI febbraio, 7;4;San Giovanni in Croce, Feudatari, 25 A;3;24
281;Capergnanica, XI febbraio, 7;4;Scandolara Ravara, Italia;1;0
282;Capergnanica, XI febbraio, 7;4;Sergnano, IV Novembre,  10;0;24
283;Capergnanica, XI febbraio, 7;4;Sesto ed Uniti, Roma, 4;0;3
284;Capergnanica, XI febbraio, 7;4;Soncino, Dante Alighieri, 23;0;75
285;Capergnanica, XI febbraio, 7;4;Soresina, Giacomo Matteotti, 6;0;96
286;Capergnanica, XI febbraio, 7;4;Spino d'Adda, Circonvallazione, 13;2;40
287;Capergnanica, XI febbraio, 7;4;Spino d'Adda, Circonvallazione, 13;4;56
288;Capergnanica, XI febbraio, 7;4;Trescore Cremasco, Vittorio Veneto, 1;4;49
289;Capergnanica, XI febbraio, 7;4;Trigolo, Roma, 26;0;9
290;Capergnanica, XI febbraio, 7;4;Vaiano Cremasco,  Gloriosi Caduti, 3;4;56
291;Capergnanica, XI febbraio, 7;4;Vailate, Dante Alighieri, 7;1;0
292;Capergnanica, XI febbraio, 7;4;Vescovato, Roma, 44;3;30
293;Capergnanica, XI febbraio, 7;4;Casaletto Vaprio, Maggiore, 7;4;0
294;Capergnanica, XI febbraio, 7;4;Cremona, Sesto 39;3;30
295;Capralba, Piave, 2;0;Agnadello, Marconi, 6;4;76
296;Capralba, Piave, 2;0;Annicco, Giuseppe Garibaldi, 6;2;6
297;Capralba, Piave, 2;0;Bagnolo Cremasco, Roma, 3;4;72
298;Capralba, Piave, 2;0;Camisano, Trieste, 57;0;0
299;Capralba, Piave, 2;0;Capergnanica, XI febbraio, 7;4;76
300;Capralba, Piave, 2;0;Capralba, Piave, 2;0;203
301;Capralba, Piave, 2;0;Casale Cremasco-Vidolasco, Roma, 56;0;0
302;Capralba, Piave, 2;0;Casalmaggiore, Guglielmo Marconi, 8;1;14
303;Capralba, Piave, 2;0;Casalmaggiore, Guglielmo Marconi, 8;3;42
304;Capralba, Piave, 2;0;Casalpusterlengo, Pusterla 7;1;0
305;Capralba, Piave, 2;0;Castelleone, Roma, 67;0;308
306;Capralba, Piave, 2;0;Castelleone, Roma, 67;2;88
307;Capralba, Piave, 2;0;Castelverde, Ubaldo Ferrari, 15;2;4
308;Capralba, Piave, 2;0;Crema, Civerchi, 9;1;358
309;Capralba, Piave, 2;0;Crema, Civerchi, 9;2;716
310;Capralba, Piave, 2;0;Crema, Civerchi, 9;3;1074
311;Capralba, Piave, 2;0;Crema, Civerchi, 9;4;1432
312;Capralba, Piave, 2;0;Cremona, Ugolani Dati, 4;1;9
313;Capralba, Piave, 2;0;Cremona, Ugolani Dati, 4;3;27
314;Capralba, Piave, 2;0;Dovera, Oldrini 2;4;96
315;Capralba, Piave, 2;0;Grontardo, Roma, 16;3;15
316;Capralba, Piave, 2;0;Grumello Cremonese ed Uniti, Roma, 2;0;14
317;Capralba, Piave, 2;0;Isola Dovarese, Giacomo Matteotti, 1;3;72
318;Capralba, Piave, 2;0;Izano, Gerardo da Izano, 4/C;3;3
319;Capralba, Piave, 2;0;Madignano, Portici, 4;2;144
320;Capralba, Piave, 2;0;Monte Cremasco, Roma, 12;4;152
321;Capralba, Piave, 2;0;Montodine,  XXV Aprile, 10;0;371
322;Capralba, Piave, 2;0;Offanengo, Clavelli Martini, 5;3;360
323;Capralba, Piave, 2;0;Ostiano, Mazzini, 1;1;2
324;Capralba, Piave, 2;0;Ostiano, Mazzini, 1;3;6
325;Capralba, Piave, 2;0;Palazzo Pignano, Marco Polo, 31;2;12
326;Capralba, Piave, 2;0;Pandino, Castello, 15;2;124
327;Capralba, Piave, 2;0;Pandino, Castello, 15;4;248
328;Capralba, Piave, 2;0;Persico Dosimo, Albert ,7;1;20
329;Capralba, Piave, 2;0;Persico Dosimo, Albert ,7;3;60
330;Capralba, Piave, 2;0;Piadena, Platina, 40;3;30
331;Capralba, Piave, 2;0;Pizzighettone, Giuseppe Garibaldi, 18;0;98
332;Capralba, Piave, 2;0;Manerbio, INSURREZIONE NAZIONALE;3;381
333;Capralba, Piave, 2;0;Ricengo, Guglielmo Marconi;0;210
334;Capralba, Piave, 2;0;Ripalta Cremasca, Roma, 5;0;266
335;Capralba, Piave, 2;0;Rivolta d'Adda, Stefano Renzi, 5;2;36
