;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casaletto Vaprio, Maggiore, 7;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertï¿½, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Palosca n. 2.1;Ostiano;San Giovanni
Cingia de' Botti, Giuseppina, 79;83346.0;42.65;70455.0;18644.0;73429.0;66439.0;73461.0;37736.0;72.01;71.475;18252.0;69.95;52386.0;30871.0;0.0;62832.0;63213.0;33009.0;23281.0;78161.0;56591.0;23293.0;23339.0;42793.0;13573.0;15859.0;60478.0;58803.0;14435.0;74482.0;56385.0;65263.0;25381.0;42677.0;73403.0;78669.0;26446.0;18998.0;12221.0;490442.0;48526.0;53269.0;31016.0;67742.0;61592.0;19.64;86408.0;61299.0;47113.0;7379.0;6757.0;73171.0;34879.0;6274.0;58981.0;48209.0;51.677;81605.0;71969.0;53515.0;73195.0;77719.0;19634.0;25366.0;19917.0;19917.0;25246.0;7969.0
Crema, Civerchi, 9;20952.0;27383.0;8041.0;46662.0;14.04;6084.0;11288.0;31621.0;12621.0;8.066;80339.0;26935.0;11191.0;37185.0;62882.0;87.0;1043.0;29739.0;38965.0;15767.0;10026.0;46521.0;51001.0;26124.0;74149.0;62883.0;5565.0;4425.0;76522.0;12088.0;10024.0;5.19;62061.0;27.41;11009.0;14161.0;43.64;55521.0;68.66;547033.0;24975.0;41957.0;93103.0;6296.0;4.48;81727.0;24014.0;9241.0;18.43;69466.0;68844.0;8015.0;30289.0;68361.0;16883.0;18997.0;52.121;19211.0;8.56;13313.0;10801.0;15546.0;51586.0;39356.0;43773.0;43773.0;61769.0;70056.0
Crema, Dante Alighieri, 49;20.33;27827.0;7419.0;47106.0;15995.0;5118.0;12108.0;29.69;14576.0;9.943;80783.0;26408.0;11635.0;37629.0;63326.0;1144.0;0.0;30183.0;39409.0;15145.0;11981.0;46965.0;51445.0;26568.0;74593.0;63327.0;7.52;4869.0;76966.0;11466.0;9497.0;5576.0;62505.0;27854.0;10387.0;13539.0;44084.0;55965.0;69104.0;546506.0;24893.0;43912.0;93547.0;6682.0;3953.0;82171.0;23392.0;11196.0;18874.0;69.91;69288.0;8401.0;30733.0;68805.0;18838.0;19441.0;12.35;18589.0;9.07;15268.0;10179.0;16366.0;52.03;39.8;44217.0;44217.0;62213.0;70.5
Cremona, Sesto, 41;50336.0;9.64;37445.0;16922.0;40419.0;33429.0;40451.0;12321.0;39.0;47.519;50599.0;29154.0;19376.0;7445.0;33142.0;29822.0;30251.0;0.0;9225.0;45151.0;24255.0;16781.0;21261.0;9783.0;44409.0;33143.0;27468.0;25793.0;46782.0;41472.0;23375.0;32253.0;32164.0;9667.0;40393.0;45659.0;13.9;25781.0;38.92;522297.0;18931.0;43379.0;63363.0;34732.0;28582.0;51987.0;53398.0;28289.0;14103.0;39726.0;39104.0;40161.0;4.44;38621.0;28728.0;15199.0;12.35;48595.0;38959.0;20505.0;40185.0;44709.0;21846.0;9616.0;14033.0;14033.0;32029.0;40316.0
Cremona, Ugolani Dati, 4;59.39;18694.0;46499.0;7335.0;49473.0;42483.0;49505.0;14376.0;48054.0;47.519;41012.0;31076.0;28.43;7511.0;23555.0;38876.0;39305.0;9053.0;55.0;54205.0;32635.0;8626.0;13829.0;18837.0;34822.0;24988.0;36522.0;34847.0;37195.0;50526.0;32429.0;41307.0;24009.0;18721.0;49447.0;54713.0;6468.0;17626.0;30765.0;520838.0;22385.0;35224.0;53776.0;43786.0;37636.0;42.4;62452.0;37343.0;23157.0;30139.0;29517.0;49215.0;10923.0;29034.0;35621.0;24253.0;66.624;57649.0;48013.0;29559.0;49239.0;53763.0;13691.0;2.03;4446.0;4446.0;23874.0;30729.0
Dovera, Oldrini 2;9884.0;42396.0;10307.0;61675.0;24.28;13529.0;17839.0;43887.0;19144.0;11.304;95352.0;25955.0;26204.0;52198.0;77895.0;15.56;15166.0;44752.0;53978.0;61.0;26.55;61534.0;66014.0;41137.0;89162.0;77896.0;22089.0;19438.0;91535.0;5.73;23264.0;22398.0;77074.0;42423.0;7635.0;5643.0;58653.0;70534.0;83673.0;548725.0;36244.0;54792.0;139437.0;19106.0;17.72;96.74;13382.0;25765.0;33443.0;84479.0;83597.0;17732.0;45302.0;83374.0;30.28;34.01;46.441;8598.0;9.6;29837.0;7171.0;15939.0;66599.0;54369.0;58786.0;58786.0;76782.0;85069.0
Fiesco, Giuseppe Parini, 10;31922.0;16.6;19058.0;41326.0;18732.0;16058.0;23952.0;20043.0;17313.0;22.558;75003.0;27596.0;5416.0;31849.0;57546.0;10251.0;10407.0;24403.0;33629.0;26737.0;0.0;41185.0;41232.0;20788.0;68813.0;57547.0;4487.0;8131.0;71186.0;23058.0;11373.0;8604.0;48263.0;16627.0;21979.0;27245.0;38304.0;50185.0;63324.0;547671.0;20066.0;38024.0;87767.0;13045.0;13.89;76391.0;34984.0;5308.0;12.53;64.13;63248.0;18474.0;24953.0;63025.0;12.95;10711.0;10.233;30181.0;23052.0;4161.0;21771.0;28.21;46.25;34.02;38437.0;38437.0;50.74;64.72
Gadesco-Pieve Delmona, Giovanni Lonati 9;66555.0;25859.0;53664.0;10562.0;56638.0;49648.0;56.67;20945.0;55219.0;54.684;40611.0;52144.0;35595.0;14.08;23154.0;46041.0;46.47;16218.0;8101.0;61.37;39.8;431.0;7924.0;26002.0;33.65;17653.0;43687.0;42012.0;36794.0;57691.0;39594.0;48472.0;16831.0;25886.0;56612.0;61878.0;3125.0;10291.0;23.43;521054.0;29629.0;35.44;53375.0;50951.0;44801.0;40816.0;69617.0;44508.0;30322.0;29738.0;29116.0;56.38;18088.0;28633.0;42.19;31418.0;17.071;64814.0;55178.0;36724.0;56404.0;60928.0;6356.0;9609.0;7673.0;7673.0;16539.0;29145.0
Grontardo, Roma, 16;71283.0;30587.0;58392.0;18123.0;56.15;54376.0;62916.0;22472.0;56277.0;61.522;40676.0;59705.0;40323.0;16121.0;23219.0;50769.0;51198.0;20946.0;13278.0;66098.0;41427.0;8644.0;76.0;30.73;33715.0;17718.0;44.94;46.74;36859.0;62419.0;44322.0;47849.0;10452.0;30614.0;61.34;66606.0;7643.0;4571.0;23495.0;530229.0;34357.0;23956.0;53.44;54242.0;49529.0;40881.0;74345.0;43.22;35.05;29803.0;29181.0;57438.0;22816.0;28698.0;42334.0;31507.0;30.462;69542.0;62016.0;37677.0;61132.0;67174.0;3901.0;16304.0;15234.0;15234.0;10.16;29.21
Grumello Cremonese ed Uniti, Roma, 2;46791.0;5821.0;33.9;25447.0;36874.0;29884.0;36906.0;13556.0;35455.0;34.92;59124.0;20893.0;15831.0;15.97;41667.0;26277.0;26658.0;8524.0;17.75;41606.0;20036.0;25306.0;29786.0;294.0;52934.0;41668.0;23923.0;22248.0;55307.0;37927.0;19.83;28708.0;40846.0;5848.0;36848.0;42114.0;22425.0;34306.0;47445.0;530822.0;8442.0;51904.0;71888.0;31187.0;25037.0;60512.0;49853.0;24744.0;10558.0;48251.0;47369.0;36616.0;5117.0;47146.0;24909.0;11.38;23.179;45.05;35414.0;16.96;36.64;41164.0;30371.0;18141.0;22558.0;22558.0;40554.0;48841.0
