;data_richiesta;biblioteca_destinazione
Agnadello;2017-06-16;2
Agnadello;2017-06-17;1
Agnadello;2017-06-19;1
Agnadello;2017-06-20;1
Agnadello;2017-06-21;1
Agnadello;2017-06-22;2
Agnadello;2017-06-23;2
Agnadello;2017-06-24;2
Agnadello;2017-06-26;1
Agnadello;2017-06-28;1
Agnadello;2017-06-29;1
Agnadello;2017-07-01;6
Agnadello;2017-07-03;5
Agnadello;2017-07-05;1
Agnadello;2017-07-06;5
Agnadello;2017-07-08;1
Agnadello;2017-07-10;3
Agnadello;2017-07-11;2
Agnadello;2017-07-12;1
Agnadello;2017-07-13;1
Agnadello;2017-07-14;1
Agnadello;2017-07-15;2
Agnadello;2017-07-17;4
Agnadello;2017-07-18;3
Agnadello;2017-07-19;1
Agnadello;2017-07-20;1
Agnadello;2017-07-21;4
Agnadello;2017-07-22;5
Agnadello;2017-07-23;1
Agnadello;2017-07-24;3
Agnadello;2017-07-25;1
Agnadello;2017-07-27;3
Agnadello;2017-07-29;2
Agnadello;2017-07-31;6
Agnadello;2017-08-01;1
Agnadello;2017-08-02;2
Agnadello;2017-08-03;2
Agnadello;2017-08-04;1
Agnadello;2017-08-06;1
Agnadello;2017-08-08;3
Agnadello;2017-08-09;1
Agnadello;2017-08-10;1
Agnadello;2017-08-11;1
Agnadello;2017-08-12;2
Agnadello;2017-08-16;2
Agnadello;2017-08-21;3
Agnadello;2017-08-22;3
Agnadello;2017-08-23;4
Agnadello;2017-08-24;1
Agnadello;2017-08-25;3
Agnadello;2017-08-26;1
Agnadello;2017-08-27;1
Agnadello;2017-08-28;1
Agnadello;2017-08-29;1
Agnadello;2017-08-30;1
Agnadello;2017-08-31;2
Agnadello;2017-09-01;2
Agnadello;2017-09-02;2
Agnadello;2017-09-03;2
Agnadello;2017-09-04;1
Agnadello;2017-09-05;4
Agnadello;2017-09-08;3
Agnadello;2017-09-12;2
Agnadello;2017-09-14;2
Agnadello;2017-09-15;4
Agnadello;2017-09-16;4
Agnadello;2017-09-19;2
Agnadello;2017-09-21;2
Agnadello;2017-09-25;2
Agnadello;2017-09-26;3
Agnadello;2017-09-27;1
Agnadello;2017-09-28;6
Agnadello;2017-09-29;1
Agnadello;2017-09-30;9
Agnadello;2017-10-03;1
Agnadello;2017-10-04;1
Agnadello;2017-10-05;1
Agnadello;2017-10-06;4
Agnadello;2017-10-09;1
Agnadello;2017-10-10;5
Agnadello;2017-10-12;2
Agnadello;2017-10-13;3
Agnadello;2017-10-14;2
